name,place,word
Thrift Baptist Church,Charlotte,thrift
Thrift Baptist Church,Charlotte,baptist
Thrift Baptist Church,Charlotte,church
Silver Mount Baptist Church,Charlotte,silver
Silver Mount Baptist Church,Charlotte,mount
Silver Mount Baptist Church,Charlotte,baptist
Silver Mount Baptist Church,Charlotte,church
Oak Grove Baptist Church,Charlotte,oak
Oak Grove Baptist Church,Charlotte,grove
Oak Grove Baptist Church,Charlotte,baptist
Oak Grove Baptist Church,Charlotte,church
Candlewyck Baptist Church,Charlotte,candlewyck
Candlewyck Baptist Church,Charlotte,baptist
Candlewyck Baptist Church,Charlotte,church
Wilson Grove Baptist Church,Charlotte,wilson
Wilson Grove Baptist Church,Charlotte,grove
Wilson Grove Baptist Church,Charlotte,baptist
Wilson Grove Baptist Church,Charlotte,church
McKee Rd Baptist Church,Charlotte,mckee
McKee Rd Baptist Church,Charlotte,rd
McKee Rd Baptist Church,Charlotte,baptist
McKee Rd Baptist Church,Charlotte,church
Covenant Baptist Church,Charlotte,covenant
Covenant Baptist Church,Charlotte,baptist
Covenant Baptist Church,Charlotte,church
Mountain Island Church of Christ,Charlotte,mountain
Mountain Island Church of Christ,Charlotte,island
Mountain Island Church of Christ,Charlotte,church
Mountain Island Church of Christ,Charlotte,of
Mountain Island Church of Christ,Charlotte,christ
Grace Lutheran Church,Charlotte,grace
Grace Lutheran Church,Charlotte,lutheran
Grace Lutheran Church,Charlotte,church
All Saints Lutheran Church,Charlotte,all
All Saints Lutheran Church,Charlotte,saints
All Saints Lutheran Church,Charlotte,lutheran
All Saints Lutheran Church,Charlotte,church
Hope Community Church,Charlotte,hope
Hope Community Church,Charlotte,community
Hope Community Church,Charlotte,church
St Vincent DePaul Catholic Church,Charlotte,st
St Vincent DePaul Catholic Church,Charlotte,vincent
St Vincent DePaul Catholic Church,Charlotte,depaul
St Vincent DePaul Catholic Church,Charlotte,catholic
St Vincent DePaul Catholic Church,Charlotte,church
Mt Olive Presbyterian Church,Charlotte,mt
Mt Olive Presbyterian Church,Charlotte,olive
Mt Olive Presbyterian Church,Charlotte,presbyterian
Mt Olive Presbyterian Church,Charlotte,church
Central Steele Creek Presbyterian Church,Charlotte,central
Central Steele Creek Presbyterian Church,Charlotte,steele
Central Steele Creek Presbyterian Church,Charlotte,creek
