name,address
Sharon Baptist Business Center,"1152 N 63rd StPhiladelphia, PA 19151"
Philadelphia Baptist Association,"8711 Ridge AvePhiladelphia, PA 19128"
Revelation Church Of Christ,"3037 N 22nd StPhiladelphia, PA 19132"
Saint Paul's Episcopal Church,"22 E Chestnut Hill AvePhiladelphia, PA 19118"
Saint Mary's Holiness Church,"1214 S 17th StPhiladelphia, PA 19146"
United Methodist Church,"2101 Belmont AvePhiladelphia, PA 19131"
St. Rose of Lima Church,"1535 N 59th StPhiladelphia, PA 19151"
Christ Assembly Lutheran Church,"229 N 63rd StPhiladelphia, PA 19139"
Bethany Lutheran Church,"401 Martin StPhiladelphia, PA 19128"
Icmap,"5717 N 3rd StPhiladelphia, PA 19120"
Holy Child Catholic School,"242 Hermitage StPhiladelphia, PA 19127"
United Fellowship,"2145 E Chelten AvePhiladelphia, PA 19138"
St Raymond's Catholic Church,"7919 Forrest AvePhiladelphia, PA 19150"
Reformation Lutheran Church,"8025 Thouron AvePhiladelphia, PA 19150"
St Timothy Lutheran Church,"7965 Fillmore StPhiladelphia, PA 19111"
St. John The Baptist Church,"146 Rector StPhiladelphia, PA 19127"
St Anselm School,"12670 Dunks Ferry RdPhiladelphia, PA 19154"
Philadelphia City of Praise Baptist Church,"1648 W Hunting Park AvePhiladelphia, PA 19140"
Assembly Rooftop Lounge,"1875 Benjamin Franklin PkwyPhiladelphia, PA 19103"
Mother Bethel African Methodist Episcopal Church,"419 S 6th StPhiladelphia, PA 19147"
Faith Measures Network,"723 Corinthian AvePhiladelphia, PA 19130"
St Michael's Russian Orthodox,"335 Fairmount AvePhiladelphia, PA 19123"
Holy Tabernacle C O G I C,"3835 Haverford AvePhiladelphia, PA 19104"
West Side Church Of God,"504 N Sloan StPhiladelphia, PA 19104"
Pilgrim Congregational Church,"1407 Marlborough StPhiladelphia, PA 19125"
Philadelphia Aoh Church of God,"3942 Wallace StPhiladelphia, PA 19104"
Emmanuel Pentecostal Church,"2126 N 16th StPhiladelphia, PA 19121"
Atonement Lutheran Church,"1544 E Montgomery AvePhiladelphia, PA 19125"
El Bethel Pentecostal Church,"2524 N 12th StPhiladelphia, PA 19133"
GRACE CHAPEL APOSTOLIC CHURCH,"4040 W Girard AvePhiladelphia, PA 19104"
Apostolic Church Of God,"170 W Cumberland StPhiladelphia, PA 19133"
Agape Tabernacle Household,"1500 W Allegheny AvePhiladelphia, PA 19132"
Dr Gregory A. Person,"401 N 52nd StPhiladelphia, PA 19139"
Service Baptist Church,"5524 Baltimore AvePhiladelphia, PA 19143"
New Bethel Pentecostal,"129 N 57th StPhiladelphia, PA 19139"
Jesus Name Apostolic Church,"3150 Frankford AvePhiladelphia, PA 19134"
New Jerusalem Church Of God In Christ Jesus Apostolic,"5701 N 13th StPhiladelphia, PA 19141"
Living Savior Church,"4799 Silverwood StPhiladelphia, PA 19128"
Wisdom From The Word,"7500 Germantown AvePhiladelphia, PA 19119"
Methodist Church Fox Chase,"7942 Burholme AvePhiladelphia, PA 19111"
Missionary Servants-Blessed,"3501 Solly AvePhiladelphia, PA 19136"
Greater Fellowship,"5522 Woodland AvePhiladelphia, PA 19143"
Berean Baptist Chr Des ADM Ofc,"2344 W Allegheny AvePhiladelphia, PA 19132"
Little Rock Tabernacle Baptist Church,"5153 W Thompson StPhiladelphia, PA 19131"
Greater St Matthew Community Dev,"1538 W Wingohocking StPhiladelphia, PA 19140"
Fernrock Community Baptist Church,"6712 N Broad StPhiladelphia, PA 19126"
Agape Baptist Church,"1601 E Wadsworth AvePhiladelphia, PA 19150"
St Mark's Lutheran Church Daycare Inc,"1164 S Broad StPhiladelphia, PA 19146"
Mt. Zion United Methodist Church,"1530 N 11th StPhiladelphia, PA 19122"
Deeper Life Bible Church,"6312 Callowhill StPhiladelphia, PA 19151"
Feltonville Presbyterian Church Daycare,"212 E Wyoming AvePhiladelphia, PA 19120"
Mater Dolorosa Church Rectory,"1676 Ruan StPhiladelphia, PA 19124"
Zion Lutheran Church Child,"5307 N Front StPhiladelphia, PA 19120"
Giving of Self Partnership,"6101 Limekiln PikePhiladelphia, PA 19141"
Great Commission Church,"2043 Eastburn AvePhiladelphia, PA 19138"
Good Shepherd United Methodist Church,"10901 Calera RdPhiladelphia, PA 19154"
Church Of The Redeemer Baptist,"1440 S 24th StPhiladelphia, PA 19146"
Church Of God & Saints Of Christ,"602 S Broad StPhiladelphia, PA 19146"
St Paul U H Church,"3832 Haverford AvePhiladelphia, PA 19104"
First Church Of Love Faith,"3101 Ridge AvePhiladelphia, PA 19121"
Revival Hill African Catherdral of Deliverance,"1716 W Venango StPhiladelphia, PA 19140"
Lighthouse Family Center,"3405 N Front StPhiladelphia, PA 19140"
Mt Zion Apostolic Churchdoroth Alarm,"3507 N Howard StPhiladelphia, PA 19140"
Word Of Life International Inc,"2100-04 Cemetery AvePhiladelphia, PA 19142"
Holy Temple Church Of God In Christ,"334 N 60th StPhiladelphia, PA 19139"
Sisters Of Mercy Convent,"6369 Woodbine AvePhiladelphia, PA 19151"
The Kingdom Life Church Ministries,"770 W Tabor RdPhiladelphia, PA 19120"
Elite Linen,"4361 Elizabeth StPhiladelphia, PA 19124"
Face To Face In Germantown,"109 E Price StPhiladelphia, PA 19144"
Mujtaba Islamic Association,"2034 Orthodox StPhiladelphia, PA 19124"
Xwan Um Sa Buddhist Temple,"6601 N 3rd StPhiladelphia, PA 19126"
Heavenly Hall Full Gospel Church,"2036 E Haines StPhiladelphia, PA 19138"
Iskcon Of Philadelphia,"41 W Allens LnPhiladelphia, PA 19119"
Philadelphia Youth Connect 7th Sda Church,"601 Unruh AvePhiladelphia, PA 19111"
